IBR-Agüimes;;;;;;;;;;;
FECHA;HORA;SO2;NO;NO2;PM10;;;;;;
09/01/2008;19;10;4;16;7;;;;;;
09/01/2008;20;10;6;8;5;;;;;;
09/01/2008;21;10;7;6;6;;;;;;
09/01/2008;22;8;7;5;9;;;;;;
09/01/2008;23;7;5;7;8;;;;;;
09/01/2008;24;7;5;7;7;;;;;;
10/01/2008;1;7;5;6;6;;;;;;
10/01/2008;2;8;7;3;6;;;;;;
10/01/2008;3;8;5;8;10;;;;;;
10/01/2008;4;8;6;7;6;;;;;;
10/01/2008;5;7;7;4;5;;;;;;
10/01/2008;6;8;6;8;8;;;;;;
10/01/2008;7;8;6;12;10;;;;;;
10/01/2008;8;10;6;12;8;;;;;;
10/01/2008;9;10;6;15;8;;;;;;
10/01/2008;10;9;5;10;8;;;;;;
10/01/2008;11;9;5;9;9;;;;;;
10/01/2008;12;9;4;8;9;;;;;;
10/01/2008;13;9;5;6;6;;;;;;
10/01/2008;14;9;5;4;6;;;;;;
10/01/2008;15;8;4;6;6;;;;;;
10/01/2008;16;7;4;5;7;;;;;;
10/01/2008;17;8;7;16;8;;;;;;
10/01/2008;18;9;10;29;11;;;;;;
10/01/2008;19;10;5;21;10;;;;;;
10/01/2008;20;10;5;16;7;;;;;;
10/01/2008;21;11;5;5;5;;;;;;
10/01/2008;22;9;5;6;10;;;;;;
10/01/2008;23;9;4;7;5;;;;;;
10/01/2008;24;8;6;2;7;;;;;;
11/01/2008;1;7;6;4;6;;;;;;
11/01/2008;2;8;7;3;5;;;;;;
11/01/2008;3;8;8;3;5;;;;;;
11/01/2008;4;8;10;4;5;;;;;;
11/01/2008;5;8;10;4;5;;;;;;
11/01/2008;6;7;9;5;6;;;;;;
11/01/2008;7;8;9;3;11;;;;;;
11/01/2008;8;8;8;6;10;;;;;;
11/01/2008;9;9;7;10;7;;;;;;
11/01/2008;10;9;8;5;10;;;;;;
11/01/2008;11;9;8;12;13;;;;;;
11/01/2008;12;10;6;5;9;;;;;;
11/01/2008;13;9;6;5;10;;;;;;
11/01/2008;14;12;7;10;10;;;;;;
11/01/2008;15;9;6;4;7;;;;;;
11/01/2008;16;7;5;5;8;;;;;;
11/01/2008;17;10;8;12;8;;;;;;
11/01/2008;18;7;6;10;8;;;;;;
11/01/2008;19;9;6;7;6;;;;;;
11/01/2008;20;9;7;6;11;;;;;;
11/01/2008;21;8;5;11;10;;;;;;
11/01/2008;22;8;5;6;9;;;;;;
